id,user_id,type_ticket_id,ticket_state_id,created_at,updated_at
1,1,2,2,2024-12-15 11:22:00,2024-12-15 11:22:00
2,3,1,2,2024-12-27 15:06:00,2024-12-27 15:06:00
3,4,1,2,2024-12-25 14:34:00,2024-12-25 14:34:00
4,10,2,2,2024-12-10 10:43:00,2024-12-10 10:43:00
5,15,1,2,2024-12-08 12:20:00,2024-12-08 12:20:00
6,20,2,2,2024-12-15 15:10:00,2024-12-15 15:10:00
7,26,1,2,2024-12-15 09:39:00,2024-12-15 09:39:00
8,29,2,2,2024-12-03 14:50:00,2024-12-03 14:50:00
9,33,1,2,2024-12-23 19:53:00,2024-12-23 19:53:00
10,70,1,2,2024-12-03 17:43:00,2024-12-03 17:43:00
11,89,2,2,2024-12-16 19:55:00,2024-12-16 19:55:00
12,94,1,2,2024-12-20 08:05:00,2024-12-20 08:05:00
13,106,1,2,2024-12-26 07:17:00,2024-12-26 07:17:00
14,125,1,2,2024-12-30 20:10:00,2024-12-30 20:10:00
15,127,2,2,2024-12-13 11:15:00,2024-12-13 11:15:00
16,135,2,2,2024-12-10 20:52:00,2024-12-10 20:52:00
17,142,1,2,2024-12-01 15:45:00,2024-12-01 15:45:00
18,155,2,2,2024-12-29 18:49:00,2024-12-29 18:49:00
19,160,2,2,2024-12-25 11:41:00,2024-12-25 11:41:00
20,164,2,2,2025-01-02 18:21:00,2025-01-02 18:21:00
21,166,1,2,2024-12-31 11:55:00,2024-12-31 11:55:00
22,172,2,2,2024-12-24 14:53:00,2024-12-24 14:53:00
23,180,1,2,2025-01-01 17:22:00,2025-01-01 17:22:00
24,198,1,2,2024-12-11 09:13:00,2024-12-11 09:13:00
25,200,1,2,2024-12-07 19:03:00,2024-12-07 19:03:00
26,218,1,2,2024-12-11 13:16:00,2024-12-11 13:16:00
27,227,1,2,2024-12-24 16:25:00,2024-12-24 16:25:00
28,228,1,2,2024-12-18 09:31:00,2024-12-18 09:31:00
29,233,1,2,2024-12-26 08:12:00,2024-12-26 08:12:00
30,238,1,2,2024-12-16 12:10:00,2024-12-16 12:10:00
31,248,1,2,2024-12-17 09:05:00,2024-12-17 09:05:00
32,259,1,2,2024-12-29 14:02:00,2024-12-29 14:02:00
33,275,1,2,2024-12-26 10:19:00,2024-12-26 10:19:00
34,278,1,2,2024-12-22 17:24:00,2024-12-22 17:24:00
35,284,1,2,2024-12-12 20:01:00,2024-12-12 20:01:00
36,289,2,2,2024-12-15 17:00:00,2024-12-15 17:00:00
37,290,1,2,2024-12-08 11:12:00,2024-12-08 11:12:00
38,291,1,2,2024-12-30 19:38:00,2024-12-30 19:38:00
39,292,1,2,2024-12-24 11:21:00,2024-12-24 11:21:00
40,295,2,2,2024-12-07 15:57:00,2024-12-07 15:57:00
41,298,2,2,2024-12-24 13:12:00,2024-12-24 13:12:00
42,299,2,2,2024-12-01 14:38:00,2024-12-01 14:38:00
43,301,2,2,2024-12-20 11:01:00,2024-12-20 11:01:00
44,303,1,2,2024-12-17 16:07:00,2024-12-17 16:07:00
45,304,2,2,2024-12-24 18:10:00,2024-12-24 18:10:00
46,309,1,2,2024-12-30 18:23:00,2024-12-30 18:23:00
47,322,1,2,2024-12-24 14:16:00,2024-12-24 14:16:00
48,325,1,2,2025-01-01 07:09:00,2025-01-01 07:09:00
49,326,1,2,2024-12-28 16:22:00,2024-12-28 16:22:00
50,328,1,2,2024-12-31 07:33:00,2024-12-31 07:33:00
51,330,1,2,2024-12-06 11:08:00,2024-12-06 11:08:00
52,335,1,2,2024-12-26 13:16:00,2024-12-26 13:16:00
53,336,1,2,2024-12-01 17:25:00,2024-12-01 17:25:00
54,348,2,2,2024-12-02 11:13:00,2024-12-02 11:13:00
55,352,1,2,2024-12-03 20:23:00,2024-12-03 20:23:00
56,355,1,2,2024-12-14 09:43:00,2024-12-14 09:43:00
57,356,1,2,2024-12-11 16:39:00,2024-12-11 16:39:00
58,1,4,2,2024-12-11 15:35:00,2024-12-11 15:35:00
59,4,3,2,2024-12-29 14:10:00,2024-12-29 14:10:00
60,10,4,2,2024-12-17 09:05:00,2024-12-17 09:05:00
61,11,4,2,2024-12-03 09:24:00,2024-12-03 09:24:00
62,12,3,2,2024-12-13 13:48:00,2024-12-13 13:48:00
63,17,4,2,2025-01-02 10:52:00,2025-01-02 10:52:00
64,19,3,2,2024-12-31 09:57:00,2024-12-31 09:57:00
65,20,4,2,2024-12-07 15:47:00,2024-12-07 15:47:00
66,22,3,2,2024-12-14 09:11:00,2024-12-14 09:11:00
67,26,3,2,2025-01-02 08:53:00,2025-01-02 08:53:00
68,27,3,2,2024-12-20 14:07:00,2024-12-20 14:07:00
69,30,3,2,2024-12-14 18:29:00,2024-12-14 18:29:00
70,37,3,2,2024-12-15 15:15:00,2024-12-15 15:15:00
71,39,3,2,2024-12-27 13:46:00,2024-12-27 13:46:00
72,46,4,2,2024-12-03 13:31:00,2024-12-03 13:31:00
73,48,3,2,2024-12-03 14:37:00,2024-12-03 14:37:00
74,52,3,2,2024-12-19 08:47:00,2024-12-19 08:47:00
75,55,4,2,2024-12-30 21:14:00,2024-12-30 21:14:00
76,56,3,2,2024-12-24 14:01:00,2024-12-24 14:01:00
77,61,4,2,2024-12-06 20:51:00,2024-12-06 20:51:00
78,62,3,2,2024-12-11 11:48:00,2024-12-11 11:48:00
79,71,3,2,2024-12-04 07:58:00,2024-12-04 07:58:00
80,73,3,2,2025-01-03 14:21:00,2025-01-03 14:21:00
81,75,3,2,2024-12-24 08:52:00,2024-12-24 08:52:00
82,78,3,2,2024-12-04 19:42:00,2024-12-04 19:42:00
83,83,4,2,2024-12-17 15:33:00,2024-12-17 15:33:00
84,87,4,2,2024-12-14 14:03:00,2024-12-14 14:03:00
85,90,3,2,2024-12-18 07:57:00,2024-12-18 07:57:00
86,94,3,2,2024-12-10 19:52:00,2024-12-10 19:52:00
87,95,3,2,2024-12-31 09:33:00,2024-12-31 09:33:00
88,101,4,2,2024-12-24 11:46:00,2024-12-24 11:46:00
89,102,3,2,2024-12-02 14:33:00,2024-12-02 14:33:00
90,104,3,2,2024-12-11 09:34:00,2024-12-11 09:34:00
91,107,4,2,2024-12-16 15:58:00,2024-12-16 15:58:00
92,111,3,2,2024-12-07 21:10:00,2024-12-07 21:10:00
93,113,3,2,2024-12-31 19:39:00,2024-12-31 19:39:00
94,119,3,2,2024-12-18 15:59:00,2024-12-18 15:59:00
95,121,3,2,2025-01-01 21:14:00,2025-01-01 21:14:00
96,123,3,2,2024-12-25 16:47:00,2024-12-25 16:47:00
97,126,3,2,2025-01-01 11:13:00,2025-01-01 11:13:00
98,127,4,2,2024-12-22 10:07:00,2024-12-22 10:07:00
99,135,4,2,2024-12-23 15:19:00,2024-12-23 15:19:00
100,136,3,2,2024-12-05 19:03:00,2024-12-05 19:03:00
101,137,3,2,2024-12-05 14:57:00,2024-12-05 14:57:00
102,141,3,2,2024-12-23 18:35:00,2024-12-23 18:35:00
103,146,4,2,2024-12-22 09:57:00,2024-12-22 09:57:00
104,148,4,2,2024-12-31 17:16:00,2024-12-31 17:16:00
105,151,3,2,2024-12-20 17:35:00,2024-12-20 17:35:00
106,159,3,2,2024-12-08 09:21:00,2024-12-08 09:21:00
107,160,4,2,2024-12-05 18:05:00,2024-12-05 18:05:00
108,161,3,2,2024-12-22 19:47:00,2024-12-22 19:47:00
109,166,3,2,2024-12-17 09:39:00,2024-12-17 09:39:00
110,174,3,2,2025-01-02 08:05:00,2025-01-02 08:05:00
111,178,3,2,2024-12-28 14:03:00,2024-12-28 14:03:00
112,180,3,2,2024-12-23 15:19:00,2024-12-23 15:19:00
113,184,4,2,2024-12-04 14:19:00,2024-12-04 14:19:00
114,187,4,2,2024-12-12 10:26:00,2024-12-12 10:26:00
115,189,3,2,2024-12-06 11:56:00,2024-12-06 11:56:00
116,191,3,2,2024-12-23 11:21:00,2024-12-23 11:21:00
117,195,3,2,2024-12-06 15:53:00,2024-12-06 15:53:00
118,196,3,2,2024-12-24 17:05:00,2024-12-24 17:05:00
119,204,3,2,2024-12-15 17:05:00,2024-12-15 17:05:00
120,206,4,2,2024-12-13 12:54:00,2024-12-13 12:54:00
121,216,4,2,2024-12-22 13:46:00,2024-12-22 13:46:00
122,218,3,2,2024-12-05 14:48:00,2024-12-05 14:48:00
123,231,4,2,2024-12-06 18:46:00,2024-12-06 18:46:00
124,244,3,2,2024-12-29 13:16:00,2024-12-29 13:16:00
125,254,3,2,2024-12-11 13:22:00,2024-12-11 13:22:00
126,263,3,2,2025-01-03 17:40:00,2025-01-03 17:40:00
127,265,3,2,2024-12-17 14:03:00,2024-12-17 14:03:00
128,266,4,2,2024-12-03 08:03:00,2024-12-03 08:03:00
129,271,3,2,2024-12-30 20:14:00,2024-12-30 20:14:00
130,277,3,2,2024-12-04 17:19:00,2024-12-04 17:19:00
131,285,3,2,2024-12-17 10:19:00,2024-12-17 10:19:00
132,290,3,2,2024-12-12 21:18:00,2024-12-12 21:18:00
133,297,3,2,2024-12-04 21:17:00,2024-12-04 21:17:00
134,299,4,2,2024-12-20 09:02:00,2024-12-20 09:02:00
135,301,4,2,2024-12-05 09:09:00,2024-12-05 09:09:00
136,302,4,2,2024-12-11 11:44:00,2024-12-11 11:44:00
137,305,3,2,2024-12-13 08:00:00,2024-12-13 08:00:00
138,308,4,2,2024-12-10 20:41:00,2024-12-10 20:41:00
139,313,3,2,2024-12-06 09:29:00,2024-12-06 09:29:00
140,320,4,2,2024-12-31 09:27:00,2024-12-31 09:27:00
141,324,4,2,2024-12-19 17:37:00,2024-12-19 17:37:00
142,327,4,2,2025-01-01 15:36:00,2025-01-01 15:36:00
143,328,3,2,2024-12-20 15:15:00,2024-12-20 15:15:00
144,331,3,2,2024-12-05 08:38:00,2024-12-05 08:38:00
145,333,4,2,2024-12-08 19:10:00,2024-12-08 19:10:00
146,336,3,2,2024-12-17 13:01:00,2024-12-17 13:01:00
147,340,3,2,2024-12-06 15:29:00,2024-12-06 15:29:00
148,352,3,2,2024-12-31 19:25:00,2024-12-31 19:25:00
149,353,3,2,2024-12-02 09:18:00,2024-12-02 09:18:00
150,354,4,2,2024-12-18 14:49:00,2024-12-18 14:49:00
151,359,3,2,2024-12-19 12:23:00,2024-12-19 12:23:00
152,360,4,2,2024-12-27 14:23:00,2024-12-27 14:23:00
153,2,5,2,2025-01-07 20:21:00,2025-01-07 20:21:00
154,3,5,2,2025-01-08 09:30:00,2025-01-08 09:30:00
155,5,5,2,2024-12-31 21:08:00,2024-12-31 21:08:00
156,6,5,2,2024-12-29 12:18:00,2024-12-29 12:18:00
157,9,5,2,2025-01-06 13:59:00,2025-01-06 13:59:00
158,10,6,2,2025-01-04 13:10:00,2025-01-04 13:10:00
159,15,5,2,2024-12-18 10:31:00,2024-12-18 10:31:00
160,23,5,2,2024-12-12 18:34:00,2024-12-12 18:34:00
161,33,5,2,2024-12-26 20:22:00,2024-12-26 20:22:00
162,36,6,2,2024-12-22 11:12:00,2024-12-22 11:12:00
163,41,5,2,2024-12-11 22:05:00,2024-12-11 22:05:00
164,42,5,2,2025-01-01 18:43:00,2025-01-01 18:43:00
165,45,5,2,2025-01-05 16:38:00,2025-01-05 16:38:00
166,46,5,2,2024-12-30 14:58:00,2024-12-30 14:58:00
167,54,5,2,2024-12-26 09:14:00,2024-12-26 09:14:00
168,55,5,2,2024-12-21 12:54:00,2024-12-21 12:54:00
169,57,5,2,2024-12-15 10:41:00,2024-12-15 10:41:00
170,61,5,2,2025-01-08 21:00:00,2025-01-08 21:00:00
171,64,5,2,2025-01-06 20:47:00,2025-01-06 20:47:00
172,66,5,2,2024-12-29 09:19:00,2024-12-29 09:19:00
173,75,5,2,2024-12-17 18:54:00,2024-12-17 18:54:00
174,85,5,2,2024-12-30 22:28:00,2024-12-30 22:28:00
175,89,6,2,2025-01-08 18:27:00,2025-01-08 18:27:00
176,93,6,2,2024-12-22 16:39:00,2024-12-22 16:39:00
177,102,5,2,2025-01-09 08:48:00,2025-01-09 08:48:00
178,113,5,2,2024-12-08 17:25:00,2024-12-08 17:25:00
179,123,5,2,2024-12-31 21:50:00,2024-12-31 21:50:00
180,132,5,2,2024-12-11 08:40:00,2024-12-11 08:40:00
181,135,6,2,2025-01-07 19:54:00,2025-01-07 19:54:00
182,145,5,2,2024-12-26 15:26:00,2024-12-26 15:26:00
183,148,6,2,2024-12-29 09:02:00,2024-12-29 09:02:00
184,155,6,2,2024-12-31 19:24:00,2024-12-31 19:24:00
185,159,5,2,2025-01-06 19:43:00,2025-01-06 19:43:00
186,168,6,2,2024-12-20 13:57:00,2024-12-20 13:57:00
187,175,6,2,2024-12-25 13:26:00,2024-12-25 13:26:00
188,178,5,2,2024-12-09 20:05:00,2024-12-09 20:05:00
189,194,5,2,2024-12-24 15:26:00,2024-12-24 15:26:00
190,201,5,2,2024-12-22 15:03:00,2024-12-22 15:03:00
191,206,6,2,2024-12-28 16:20:00,2024-12-28 16:20:00
192,208,5,2,2024-12-26 20:28:00,2024-12-26 20:28:00
193,213,6,2,2024-12-26 20:49:00,2024-12-26 20:49:00
194,214,5,2,2024-12-10 13:12:00,2024-12-10 13:12:00
195,216,6,2,2024-12-31 14:59:00,2024-12-31 14:59:00
196,218,5,2,2024-12-17 10:29:00,2024-12-17 10:29:00
197,219,6,2,2024-12-11 16:11:00,2024-12-11 16:11:00
198,223,5,2,2024-12-17 11:23:00,2024-12-17 11:23:00
199,224,5,2,2025-01-02 17:57:00,2025-01-02 17:57:00
200,240,5,2,2024-12-16 19:51:00,2024-12-16 19:51:00
201,243,5,2,2024-12-20 14:56:00,2024-12-20 14:56:00
202,249,5,2,2024-12-21 21:39:00,2024-12-21 21:39:00
203,256,5,2,2024-12-09 20:10:00,2024-12-09 20:10:00
204,259,5,2,2024-12-20 13:46:00,2024-12-20 13:46:00
205,266,5,2,2024-12-22 19:52:00,2024-12-22 19:52:00
206,273,5,2,2024-12-17 19:24:00,2024-12-17 19:24:00
207,277,5,2,2024-12-29 14:03:00,2024-12-29 14:03:00
208,284,5,2,2024-12-12 21:03:00,2024-12-12 21:03:00
209,290,5,2,2024-12-08 16:02:00,2024-12-08 16:02:00
210,291,5,2,2025-01-09 17:17:00,2025-01-09 17:17:00
211,295,6,2,2024-12-09 18:40:00,2024-12-09 18:40:00
212,301,6,2,2024-12-22 19:08:00,2024-12-22 19:08:00
213,303,5,2,2024-12-26 20:15:00,2024-12-26 20:15:00
214,304,5,2,2024-12-18 14:55:00,2024-12-18 14:55:00
215,305,5,2,2024-12-23 22:15:00,2024-12-23 22:15:00
216,310,5,2,2024-12-17 10:38:00,2024-12-17 10:38:00
217,311,5,2,2025-01-01 22:05:00,2025-01-01 22:05:00
218,315,5,2,2024-12-10 21:24:00,2024-12-10 21:24:00
219,318,5,2,2024-12-10 17:29:00,2024-12-10 17:29:00
220,321,5,2,2025-01-04 09:11:00,2025-01-04 09:11:00
221,324,6,2,2024-12-14 19:10:00,2024-12-14 19:10:00
222,330,5,2,2024-12-23 17:31:00,2024-12-23 17:31:00
223,332,6,2,2024-12-13 10:14:00,2024-12-13 10:14:00
224,341,5,2,2024-12-28 20:09:00,2024-12-28 20:09:00
225,353,5,2,2024-12-08 15:19:00,2024-12-08 15:19:00
226,356,5,2,2025-01-06 21:48:00,2025-01-06 21:48:00
227,10,8,2,2025-01-19 20:24:00,2025-01-19 20:24:00
228,14,7,2,2025-01-16 14:28:00,2025-01-16 14:28:00
229,22,7,2,2024-12-30 08:27:00,2024-12-30 08:27:00
230,29,8,2,2025-01-16 08:35:00,2025-01-16 08:35:00
231,38,7,2,2025-01-11 17:43:00,2025-01-11 17:43:00
232,39,7,2,2025-01-05 16:39:00,2025-01-05 16:39:00
233,43,7,2,2025-01-08 17:14:00,2025-01-08 17:14:00
234,44,7,2,2025-01-26 11:44:00,2025-01-26 11:44:00
235,46,7,2,2025-01-20 21:09:00,2025-01-20 21:09:00
236,49,7,2,2025-01-14 16:19:00,2025-01-14 16:19:00
237,51,7,2,2025-01-17 11:34:00,2025-01-17 11:34:00
238,53,8,2,2025-01-21 17:54:00,2025-01-21 17:54:00
239,57,7,2,2025-01-18 15:24:00,2025-01-18 15:24:00
240,59,7,2,2024-12-30 10:32:00,2024-12-30 10:32:00
241,60,8,2,2025-01-23 19:53:00,2025-01-23 19:53:00
242,65,7,2,2025-01-03 17:59:00,2025-01-03 17:59:00
243,67,7,2,2025-01-22 12:34:00,2025-01-22 12:34:00
244,75,7,2,2025-01-14 11:43:00,2025-01-14 11:43:00
245,79,7,2,2025-01-30 20:22:00,2025-01-30 20:22:00
246,81,7,2,2025-01-15 16:21:00,2025-01-15 16:21:00
247,84,7,2,2025-01-15 16:51:00,2025-01-15 16:51:00
248,89,8,2,2025-01-15 16:08:00,2025-01-15 16:08:00
249,91,7,2,2025-01-12 15:30:00,2025-01-12 15:30:00
250,92,7,2,2025-01-02 20:37:00,2025-01-02 20:37:00
251,93,8,2,2025-01-22 21:45:00,2025-01-22 21:45:00
252,95,7,2,2025-01-05 20:17:00,2025-01-05 20:17:00
253,100,7,2,2025-01-31 14:59:00,2025-01-31 14:59:00
254,101,8,2,2025-01-04 11:44:00,2025-01-04 11:44:00
255,104,7,2,2025-01-26 19:25:00,2025-01-26 19:25:00
256,113,7,2,2025-01-27 11:44:00,2025-01-27 11:44:00
257,114,7,2,2025-01-02 14:42:00,2025-01-02 14:42:00
258,117,7,2,2025-01-21 16:49:00,2025-01-21 16:49:00
259,119,7,2,2025-01-27 19:51:00,2025-01-27 19:51:00
260,128,8,2,2025-01-23 19:10:00,2025-01-23 19:10:00
261,129,7,2,2025-01-26 09:28:00,2025-01-26 09:28:00
262,145,7,2,2025-01-06 17:13:00,2025-01-06 17:13:00
263,147,7,2,2025-01-11 14:01:00,2025-01-11 14:01:00
264,148,8,2,2025-01-08 14:20:00,2025-01-08 14:20:00
265,153,7,2,2025-01-02 20:25:00,2025-01-02 20:25:00
266,160,8,2,2025-01-19 09:55:00,2025-01-19 09:55:00
267,163,7,2,2025-01-07 18:49:00,2025-01-07 18:49:00
268,164,8,2,2025-01-22 15:14:00,2025-01-22 15:14:00
269,175,8,2,2025-01-30 12:39:00,2025-01-30 12:39:00
270,176,8,2,2025-01-05 14:31:00,2025-01-05 14:31:00
271,180,7,2,2025-01-23 08:54:00,2025-01-23 08:54:00
272,185,7,2,2024-12-30 16:18:00,2024-12-30 16:18:00
273,186,7,2,2025-01-07 20:44:00,2025-01-07 20:44:00
274,187,7,2,2024-12-31 11:52:00,2024-12-31 11:52:00
275,188,7,2,2025-01-09 12:41:00,2025-01-09 12:41:00
276,191,7,2,2025-01-27 08:56:00,2025-01-27 08:56:00
277,192,8,2,2024-12-30 11:52:00,2024-12-30 11:52:00
278,193,8,2,2025-01-01 18:26:00,2025-01-01 18:26:00
279,195,7,2,2025-01-15 10:40:00,2025-01-15 10:40:00
280,196,7,2,2025-01-23 16:37:00,2025-01-23 16:37:00
281,201,8,2,2025-01-23 11:47:00,2025-01-23 11:47:00
282,203,8,2,2025-01-10 13:45:00,2025-01-10 13:45:00
283,205,7,2,2025-01-14 16:26:00,2025-01-14 16:26:00
284,212,7,2,2025-01-02 21:02:00,2025-01-02 21:02:00
285,216,8,2,2025-01-13 17:52:00,2025-01-13 17:52:00
286,218,7,2,2025-01-19 12:35:00,2025-01-19 12:35:00
287,223,7,2,2025-01-04 12:43:00,2025-01-04 12:43:00
288,226,8,2,2024-12-31 16:03:00,2024-12-31 16:03:00
289,230,7,2,2025-01-23 12:09:00,2025-01-23 12:09:00
290,238,7,2,2025-01-17 11:16:00,2025-01-17 11:16:00
291,258,8,2,2025-01-18 17:46:00,2025-01-18 17:46:00
292,268,7,2,2025-01-13 19:19:00,2025-01-13 19:19:00
293,274,8,2,2025-01-25 18:20:00,2025-01-25 18:20:00
294,275,7,2,2025-01-10 10:37:00,2025-01-10 10:37:00
295,279,7,2,2025-01-25 10:11:00,2025-01-25 10:11:00
296,286,8,2,2024-12-31 16:01:00,2024-12-31 16:01:00
297,287,7,2,2025-01-06 13:54:00,2025-01-06 13:54:00
298,289,8,2,2025-01-12 12:29:00,2025-01-12 12:29:00
299,291,8,2,2025-01-13 19:30:00,2025-01-13 19:30:00
300,292,7,2,2025-01-24 12:14:00,2025-01-24 12:14:00
301,297,7,2,2025-01-15 16:04:00,2025-01-15 16:04:00
302,302,8,2,2025-01-22 17:27:00,2025-01-22 17:27:00
303,316,8,2,2025-01-28 20:05:00,2025-01-28 20:05:00
304,320,8,2,2025-01-26 14:29:00,2025-01-26 14:29:00
305,321,7,2,2025-01-09 18:42:00,2025-01-09 18:42:00
306,322,7,2,2025-01-20 11:49:00,2025-01-20 11:49:00
307,325,7,2,2025-01-23 11:51:00,2025-01-23 11:51:00
308,327,8,2,2025-01-03 18:43:00,2025-01-03 18:43:00
309,328,7,2,2024-12-31 11:20:00,2024-12-31 11:20:00
310,331,7,2,2025-01-21 15:38:00,2025-01-21 15:38:00
311,332,8,2,2025-01-06 13:18:00,2025-01-06 13:18:00
312,336,7,2,2025-01-29 15:35:00,2025-01-29 15:35:00
313,340,7,2,2025-01-02 14:06:00,2025-01-02 14:06:00
314,341,7,2,2025-01-02 15:29:00,2025-01-02 15:29:00
315,342,7,2,2025-01-24 11:20:00,2025-01-24 11:20:00
316,345,7,2,2025-01-02 15:19:00,2025-01-02 15:19:00
317,347,8,2,2025-01-23 17:49:00,2025-01-23 17:49:00
318,348,8,2,2025-01-24 11:51:00,2025-01-24 11:51:00
319,354,8,2,2025-01-20 10:46:00,2025-01-20 10:46:00
320,356,7,2,2025-01-27 21:48:00,2025-01-27 21:48:00
321,1,10,2,2025-02-03 17:17:00,2025-02-03 17:17:00
322,6,10,2,2025-01-26 20:01:00,2025-01-26 20:01:00
323,9,9,2,2025-01-13 12:27:00,2025-01-13 12:27:00
324,10,10,2,2025-01-26 21:12:00,2025-01-26 21:12:00
325,14,9,2,2025-01-12 20:47:00,2025-01-12 20:47:00
326,28,10,2,2025-01-27 20:59:00,2025-01-27 20:59:00
327,37,9,2,2025-01-28 12:17:00,2025-01-28 12:17:00
328,39,9,2,2025-02-05 09:09:00,2025-02-05 09:09:00
329,41,9,2,2025-02-06 11:24:00,2025-02-06 11:24:00
330,46,10,2,2025-01-23 18:54:00,2025-01-23 18:54:00
331,59,9,2,2025-02-04 11:10:00,2025-02-04 11:10:00
332,63,10,2,2025-02-03 16:45:00,2025-02-03 16:45:00
333,66,9,2,2025-01-25 22:01:00,2025-01-25 22:01:00
334,68,10,2,2025-01-17 12:47:00,2025-01-17 12:47:00
335,71,9,2,2025-01-15 08:39:00,2025-01-15 08:39:00
336,74,9,2,2025-01-18 16:30:00,2025-01-18 16:30:00
337,79,9,2,2025-01-12 15:39:00,2025-01-12 15:39:00
338,87,10,2,2025-01-13 21:50:00,2025-01-13 21:50:00
339,93,10,2,2025-01-28 13:00:00,2025-01-28 13:00:00
340,96,9,2,2025-02-05 14:26:00,2025-02-05 14:26:00
341,98,10,2,2025-02-05 15:09:00,2025-02-05 15:09:00
342,107,10,2,2025-01-08 09:39:00,2025-01-08 09:39:00
343,108,9,2,2025-01-24 17:24:00,2025-01-24 17:24:00
344,114,9,2,2025-01-15 15:28:00,2025-01-15 15:28:00
345,117,9,2,2025-02-04 11:04:00,2025-02-04 11:04:00
346,119,9,2,2025-01-27 12:05:00,2025-01-27 12:05:00
347,121,9,2,2025-01-11 15:17:00,2025-01-11 15:17:00
348,125,9,2,2025-01-13 19:17:00,2025-01-13 19:17:00
349,132,9,2,2025-01-31 19:22:00,2025-01-31 19:22:00
350,137,9,2,2025-01-05 17:10:00,2025-01-05 17:10:00
351,147,9,2,2025-01-08 20:18:00,2025-01-08 20:18:00
352,151,9,2,2025-01-10 14:08:00,2025-01-10 14:08:00
353,154,9,2,2025-01-24 20:13:00,2025-01-24 20:13:00
354,155,10,2,2025-01-07 16:53:00,2025-01-07 16:53:00
355,156,9,2,2025-02-01 16:58:00,2025-02-01 16:58:00
356,160,10,2,2025-01-21 18:16:00,2025-01-21 18:16:00
357,164,10,2,2025-02-02 15:08:00,2025-02-02 15:08:00
358,167,10,2,2025-01-10 19:12:00,2025-01-10 19:12:00
359,168,10,2,2025-01-09 22:01:00,2025-01-09 22:01:00
360,175,10,2,2025-01-29 16:07:00,2025-01-29 16:07:00
361,178,10,2,2025-02-03 18:57:00,2025-02-03 18:57:00
362,188,9,2,2025-01-07 11:19:00,2025-01-07 11:19:00
363,192,10,2,2025-01-23 17:04:00,2025-01-23 17:04:00
364,193,10,2,2025-01-18 20:35:00,2025-01-18 20:35:00
